company,price,change
Microsoft Corporation (MSFT),354.78,(+0.56%)
International Business Machines Corporation (IBM),149.04,(+0.77%)
General Electric Company (GE),111.14,(+2.04%)
Union Pacific Corporation (UNP),211.50,(-0.30%)
Costco Wholesale Corporation (COST),571.29,(+1.85%)
McDonald's Corporation (MCD),268.69,(+0.31%)
Visa Inc. (V),242.86,(-0.30%)
Walmart Inc. (WMT),165.34,(+0.41%)
The Walt Disney Company (DIS),84.08,(-1.16%)
3M Company (MMM),93.66,(-0.21%)
Intel Corporation (INTC),38.10,(+0.23%)
American Express Company (AXP),151.90,(-0.56%)
Apple Inc. (AAPL),178.34,(+0.96%)
The Boeing Company (BA),194.30,(-0.38%)
"Cisco Systems, Inc. (CSCO)",53.06,(+0.08%)
"The Goldman Sachs Group, Inc. (GS)",322.94,(-1.43%)
JPMorgan Chase & Co. (JPM),143.70,(+0.49%)
"Salesforce, Inc. (CRM)",205.04,(-1.17%)
Verizon Communications Inc. (VZ),35.70,(-0.89%)
